mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
146,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Trabajador por cuenta propia,Educación profesional completa,Empleado de nivel auxiliar o administrativo,Bachiller académico,Entre 21 y 30 horas,Entre 5.5 millones y menos de 7 millones,Si,No,21,0
218,M,Estrato 1,Si,No,Creditos,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Educación profesional incompleta,Trabajador por cuenta propia,Educación profesional incompleta,Hogar,Bachiller académico,0,Entre 5.5 millones y menos de 7 millones,No,No,23,0
181,M,,,,,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,,Otra actividad u ocupación,,Empleado de nivel técnico o profesional,Bachiller académico,,Entre 4 millones y menos de 5.5 millones,,,23,0
133,M,Estrato 2,Si,Si,Familiares,PRESENCIAL,INSTITUCIÓN UNIVERSITARIA,NO OFICIAL - CORPORACIÓN,Primaria incompleta,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,Si,23,1
166,M,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Postgrado,Empleado de nivel técnico o profesional,Técnica o tecnológica completa,Pensionado,Bachiller académico,Más de 30 horas,Entre 2.5 millones y menos de 4 millones,No,No,21,0
106,F,Estrato 4,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Educación profesional completa,Trabajador por cuenta propia,Bachiller académico,Entre 21 y 30 horas,Entre 4 millones y menos de 5.5 millones,Si,No,25,1
109,M,Estrato 3,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Secundaria (Bachillerato) completa,Pensionado,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,Si,No,24,1
139,M,Estrato 2,Si,Si, Propios,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Trabajador por cuenta propia,Educación profesional completa,Otra actividad u ocupación,Bachiller técnico,0,Entre 2.5 millones y menos de 4 millones,No,Si,21,1
155,M,Estrato 4,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Educación profesional completa,Empleado de nivel técnico o profesional,Educación profesional completa,Empleado de nivel técnico o profesional,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,Si,No,22,0
129,F,Estrato 1,Si,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Trabajador por cuenta propia,Educación profesional completa,Profesional Independiente,Bachiller académico,Más de 30 horas,Entre 4 millones y menos de 5.5 millones,No,No,23,1
121,F,Estrato 2,No,Si,Creditos,PRESENCIAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Postgrado,Otra actividad u ocupación,Secundaria (Bachillerato) incompleta,Hogar,Bachiller académico,Entre 11 y 20 horas,Entre 5.5 millones y menos de 7 millones,No,No,22,1
